calls,motion_bin,samples,mean_benefit,positive_fraction
2,low,28,-0.005052651702425561,0.14285714285714285
2,mid,28,-0.004836473936808898,0.17857142857142858
2,high,28,-0.0008326816182525366,0.4642857142857143
4,low,28,-0.0030107474621059727,0.17857142857142858
4,mid,28,-0.0035598492354230347,0.14285714285714285
4,high,28,-0.00026820433238368836,0.5
8,low,28,-0.0007170890654850493,0.2857142857142857
8,mid,28,-0.0007116828793242312,0.32142857142857145
8,high,28,-0.00023563236040857836,0.5
