feature,stage,count,median,q25,q75,fine_spearman,fine_spearman_p
joint_path,free_open,87,0.3771198990122544,0.23610034389403203,0.5472689298109499,-0.17669613067322135,0.0007458271637098084
joint_path,pre_close,43,0.271144698599442,0.19414993387356444,0.376056427480294,-0.17669613067322135,0.0007458271637098084
joint_path,closing,54,0.2142386808334243,0.1590713902625427,0.28307087414072113,-0.17669613067322135,0.0007458271637098084
joint_path,hold,139,0.2990472587942609,0.2150027556016595,0.5034338868253421,-0.17669613067322135,0.0007458271637098084
joint_path,release,38,0.32993305071848156,0.19656578787389975,0.46250507242809047,-0.17669613067322135,0.0007458271637098084
joint_step_mean,free_open,87,0.0157133291255106,0.009837514328918,0.022802872075456247,-0.17669613067322135,0.0007458271637098084
joint_step_mean,pre_close,43,0.011297695774976751,0.008089580578065185,0.015669017811678915,-0.17669613067322135,0.0007458271637098084
joint_step_mean,closing,54,0.008926611701392678,0.006627974594272612,0.01179461975586338,-0.17669613067322135,0.0007458271637098084
joint_step_mean,hold,139,0.012460302449760872,0.008958448150069145,0.020976411951055922,-0.17669613067322135,0.0007458271637098084
joint_step_mean,release,38,0.013747210446603398,0.00819024116141249,0.01927104468450377,-0.17669613067322135,0.0007458271637098084
joint_step_max,free_open,87,0.05422952396413181,0.03496762901817521,0.08600690479853818,-0.12921254156511683,0.01401684493234016
joint_step_max,pre_close,43,0.04600774738398769,0.0300891263162427,0.07643023441203228,-0.12921254156511683,0.01401684493234016
joint_step_max,closing,54,0.039193267367069434,0.029882110753157966,0.055321858325167214,-0.12921254156511683,0.01401684493234016
joint_step_max,hold,139,0.048522423682795676,0.03252714003446419,0.07733573631013493,-0.12921254156511683,0.01401684493234016
joint_step_max,release,38,0.042841120429263385,0.031508919452781406,0.05858335418528449,-0.12921254156511683,0.01401684493234016
joint_endpoint,free_open,87,0.2782660877423326,0.17366493765636498,0.37795772116383974,-0.24512470607639286,2.4371616099313014e-06
joint_endpoint,pre_close,43,0.18236937789491658,0.12771800603404784,0.28310705321020935,-0.24512470607639286,2.4371616099313014e-06
joint_endpoint,closing,54,0.1179782810187821,0.08821692096517861,0.17999983277966758,-0.24512470607639286,2.4371616099313014e-06
joint_endpoint,hold,139,0.207927699018727,0.1160090115848946,0.32104301389714984,-0.24512470607639286,2.4371616099313014e-06
joint_endpoint,release,38,0.17288463632285156,0.09450116520223302,0.3020469887808238,-0.24512470607639286,2.4371616099313014e-06
joint_accel_mean,free_open,87,0.007676062755618608,0.005004785144298269,0.013583669091738006,-0.14605554241367222,0.005429939901775907
joint_accel_mean,pre_close,43,0.0060382721030762315,0.004606672862976947,0.009013962898315414,-0.14605554241367222,0.005429939901775907
joint_accel_mean,closing,54,0.004875413238178543,0.0040434841921769184,0.006491320118021788,-0.14605554241367222,0.005429939901775907
joint_accel_mean,hold,139,0.006427951972254576,0.00422782468331244,0.01131634620962723,-0.14605554241367222,0.005429939901775907
joint_accel_mean,release,38,0.006134268265319339,0.004855560178771682,0.008643458873377441,-0.14605554241367222,0.005429939901775907
joint_accel_max,free_open,87,0.047108711037850415,0.0307943502014388,0.07553611621239592,-0.14164280049394,0.007028676900668792
joint_accel_max,pre_close,43,0.04314820496944881,0.02766497535847022,0.06732514645031687,-0.14164280049394,0.007028676900668792
joint_accel_max,closing,54,0.03267351910531831,0.025734631668349814,0.0463893675953531,-0.14164280049394,0.007028676900668792
