source,segment,label,cycle,n,joint_step_mean,joint_step_median,joint_step_change_mean,joint_step_change_median,joint_jerk_mean,joint_jerk_median,direction_change_mean,direction_change_median,gripper_value_mean,gripper_value_median,gripper_change_mean,gripper_change_median
gt,simple_1,simple,1,12,0.009959474396232614,0.007790789747454081,0.010234680021363877,0.005594751968088602,0.018587563122042985,0.009183570332248791,0.4457455457672752,0.09459261622772597,0.0,0.0,0.0,0.0
gt,fine_1,fine,1,75,0.010044720058581069,0.009415049559738944,0.0026050416142484336,0.002042691951860838,0.004019363359962324,0.003500751654044732,0.033538872820785,0.01615913541911862,0.6135830614467462,0.5189718008041382,0.01425476590792338,0.0036706924438476562
gt,simple_2,simple,2,37,0.019288743778760033,0.018218915436586065,0.008569382789224655,0.004801495693897156,0.014447261487207496,0.00703379467310517,0.13986898306061515,0.01976342437702472,0.9257054570558909,0.9471365809440613,0.008572449555268159,0.0
gt,fine_2,fine,2,20,0.011456254043257475,0.009182135674372933,0.00415902615175485,0.004149541199462434,0.006835776860723978,0.0054965020379497374,0.16098162768637944,0.0353066175756826,0.2379685311578214,0.056167407892644405,0.047356829047203064,0.011563881300389767
wam,simple_1,simple,1,12,0.016036716425833295,0.01650993535090679,0.003546640917578593,0.0033884996474147317,0.006029485561574292,0.006121050278684991,0.019886324740296297,0.016307713207989072,0.0011393229166666667,0.0,0.0009765625,0.0009765625
wam,fine_1,fine,1,75,0.01071918429902716,0.010287843090921754,0.0033416685320884288,0.003298852693792934,0.005533485368109043,0.005445767337944383,0.06565989592067022,0.04146397392716461,0.5314485677083334,0.472900390625,0.007555338541666666,0.00390625
wam,simple_2,simple,2,37,0.013153715622951461,0.012919005554306048,0.0034731570801313557,0.003415524321171899,0.005352776907202098,0.005295068606837065,0.0358274147526372,0.02632571894303304,0.8532516891891891,0.853515625,0.0063872466216216214,0.005859375
wam,fine_2,fine,2,20,0.009976042256352659,0.010588492044550462,0.003961564559218605,0.004121881824003456,0.0058584629599098,0.005567261201558003,0.14379715410636856,0.050997156127108256,0.65001220703125,0.833984375,0.04013671875,0.0126953125
