episode,chunk_index,anchor,stage,latency,record_count,mean_entropy,std_entropy,min_entropy,max_entropy
1925,0,23,free_open,19.311883360147476,640,0.5531595061067491,0.13700873448465764,0.3161029815673828,0.8685089945793152
1925,1,47,free_open,8.049286347813904,640,0.5548732711002231,0.13799581716141332,0.3155616521835327,0.8713794350624084
1925,2,71,pre_close,8.555021089036018,640,0.5539107804652303,0.13769941705069633,0.3112927973270416,0.864241361618042
1925,3,95,closing,7.308541859965771,640,0.5596964478492736,0.13357653158364952,0.3257704973220825,0.8810826539993286
1925,4,119,hold,7.3432638589292765,640,0.5565518106799573,0.13586456349303355,0.3140374720096588,0.8685169816017151
1925,5,143,hold,7.809821744915098,640,0.5485029766336084,0.1373323924274243,0.3173767924308777,0.8675422668457031
1925,6,167,release,8.293230241164565,640,0.5545081932097673,0.1350169544991674,0.304365873336792,0.8644687533378601
16001,0,23,free_open,7.350456766784191,640,0.5505483819171786,0.13692427620881614,0.3150095045566559,0.8785279393196106
16001,1,47,pre_close,7.810312184970826,640,0.5508313493803143,0.1359202842103217,0.32624244689941406,0.8679717183113098
16001,2,71,closing,8.300902532879263,640,0.5478694783523679,0.13758075977134127,0.3115442097187042,0.8638984560966492
16001,3,95,hold,7.353877642657608,640,0.5521158575080335,0.13498408194806333,0.3269750475883484,0.8817074298858643
16001,4,119,hold,7.38700743066147,640,0.5592961273156106,0.13763132187465743,0.3143022060394287,0.8722823262214661
16001,5,143,hold,7.905354431830347,640,0.5526242790278048,0.1368974594943968,0.31450602412223816,0.8671127557754517
16001,6,167,release,8.40371108520776,640,0.548074692999944,0.1372841596633802,0.3070429861545563,0.8636430501937866
50458,0,23,free_open,7.372280823066831,640,0.5546863669063896,0.13486296941242085,0.32251131534576416,0.8757458925247192
50458,1,47,pre_close,7.887806037906557,640,0.555340618500486,0.13673106057747397,0.32640206813812256,0.8672871589660645
50458,2,71,closing,8.378199295140803,640,0.5561913362238556,0.13608392924860216,0.31475359201431274,0.8643159866333008
50458,3,95,hold,7.391301473136991,640,0.5638417398557067,0.13202849812964676,0.3218216598033905,0.8788213133811951
50458,4,119,hold,7.447346294298768,640,0.5533267321065068,0.13647550384082646,0.30897247791290283,0.8712818026542664
50458,5,143,hold,7.889625370968133,640,0.5547210556454957,0.13562777708587884,0.31672799587249756,0.8672212362289429
50458,6,167,release,8.391941249836236,640,0.5551177702844143,0.13495238100477333,0.3122134506702423,0.8644103407859802
