source,phase,episodes,steps,speed_z_mean,accel_norm_z_mean,jerk_norm_z_mean,direction_change_z_mean,gripper_z_mean,gripper_abs_d1_z_mean
gt,contact_manipulation,3,119,-0.04700950369773438,0.111187193975767,0.10985774443157241,0.9541854251330385,0.31409371721505347,4.283703117065002
gt,free_pre,3,39,0.46069656778144236,1.0587289282261383,1.3393125575641294,3.0104407982604484,-0.9837758636384809,-0.44966050631773014
gt,placement_release,2,20,0.004270980854197665,-0.0471638977712413,-0.27954009796376783,0.864176697417115,-0.4190246870232766,3.6108269412754233
gt,stable_transport,2,84,0.3404495246427878,1.1503649380392602,1.37967179173859,2.1051086926456377,0.6850914430560309,2.0672085001303624
gt,terminal_approach,3,45,0.01487541884084198,-0.22907483703262246,-0.112384501601627,-0.10573917614804529,-0.6326150067918926,5.747499239221187
wam,contact_manipulation,3,119,-0.2500567312785163,-0.1437062021346589,-0.3610724278238267,1.442854019719786,0.014540868904489987,1.9195962671327156
wam,free_pre,3,39,1.1132611969051196,1.1770873698858613,0.9008403248745624,0.27244745366943945,-4.216905666185757,-0.5247091927020916
wam,placement_release,2,20,-0.4853793614586895,-0.7128099520227478,0.4099606490079712,0.28441900562559974,-0.6848178152231319,5.844410115791967
wam,stable_transport,2,84,0.5632555885147732,0.32044735275801683,-0.09791384961037548,0.3320254385331338,0.5262640903939801,0.32130321824443
wam,terminal_approach,3,45,-0.0683482311061029,0.7579599604498494,0.4044564659531446,1.7668748077387466,-3.6313539347509973,0.49974206916112035
