source,transition,episodes,speed_median_ratio,speed_increase_count,speed_decrease_count,accel_norm_median_ratio,accel_norm_increase_count,accel_norm_decrease_count,jerk_norm_median_ratio,jerk_norm_increase_count,jerk_norm_decrease_count,direction_change_median_ratio,direction_change_increase_count,direction_change_decrease_count,gripper_median_ratio,gripper_increase_count,gripper_decrease_count,gripper_abs_d1_median_ratio,gripper_abs_d1_increase_count,gripper_abs_d1_decrease_count
gt,contact_manipulation->stable_transport,2,2.43136446511491,2,0,3.2003982376745017,2,0,3.0555056174313617,2,0,2.227178356715313,2,0,2.059625766977499,2,0,0.0,0,2
gt,free_pre->terminal_approach,3,1.2499301898593287,2,1,0.38622604166480734,1,2,0.4156877622492839,1,2,0.7743051310809553,1,2,14745623.128754742,2,0,783991.8988091554,2,0
gt,stable_transport->placement_release,1,0.8989718936047414,0,1,0.8627630537166053,0,1,0.3184305598326265,0,1,0.9017787878902427,0,1,0.0,0,1,198237.96514953912,1,0
gt,terminal_approach->contact_manipulation,3,0.6108410302610908,1,2,1.1525105921851233,2,1,1.2361242804576031,2,1,1.388837326817633,2,1,2.3405396657648594,3,0,0.2170237533697707,0,2
wam,contact_manipulation->stable_transport,2,2.2225779429158434,2,0,1.37933776921516,2,0,1.2133695339853185,2,0,0.43921468606826547,0,2,1.6119677737005342,2,0,0.43473717011759594,0,2
wam,free_pre->terminal_approach,3,0.7541610847499491,0,3,0.9660977746953895,1,2,1.0196990444951843,2,1,1.6507769421991243,3,0,81.01176470588237,2,1,13.800000000000006,2,1
wam,stable_transport->placement_release,1,0.7415369500868915,0,1,0.4985343370878899,0,1,1.580838941317195,1,0,0.8259534378301535,0,1,0.5902896501841136,0,1,37.49237804878208,1,0
wam,terminal_approach->contact_manipulation,3,0.7574295604697947,1,2,0.7999987220517291,0,3,0.7948725531488967,0,3,0.9636960324465197,1,2,1.7413381123058542,3,0,1.5640851449275353,2,1
