episode,source,transition,speed_before,speed_after,speed_delta,speed_ratio,accel_norm_before,accel_norm_after,accel_norm_delta,accel_norm_ratio,jerk_norm_before,jerk_norm_after,jerk_norm_delta,jerk_norm_ratio,direction_change_before,direction_change_after,direction_change_delta,direction_change_ratio,gripper_before,gripper_after,gripper_delta,gripper_ratio,gripper_abs_d1_before,gripper_abs_d1_after,gripper_abs_d1_delta,gripper_abs_d1_ratio
1925,gt,free_pre->terminal_approach,0.017838879866623386,0.0023215144359961136,-0.015517365430627272,0.13013790402499859,0.0031702771484640323,0.0006632946366403422,-0.0025069825118236902,0.20922291824287406,0.00281416480490459,0.00044383154136015196,-0.002370333263544438,0.15771341485993723,0.015603397664140428,0.01998043699772656,0.00437703933358613,1.2805183478496736,0.0,0.14745623128754742,0.14745623128754742,14745623.128754742,0.0,0.018729840644768306,0.018729840644768306,1872984.0644768307
1925,gt,terminal_approach->contact_manipulation,0.0023215144359961136,0.0045801264226397985,0.002258611986643685,1.9729045624799493,0.0006632946366403422,0.0009222584935463965,0.00025896385690605433,1.3904205500857565,0.00044383154136015196,0.0009609756713895407,0.0005171441300293887,2.16518111453856,0.01998043699772656,0.012741178692227073,-0.007239258305499485,0.6376826840011961,0.14745623128754742,0.345127158292702,0.1976709270051546,2.3405396657648594,0.018729840644768306,0.005040721628548841,-0.013689119016219465,0.26912784385898314
1925,gt,contact_manipulation->stable_transport,0.0045801264226397985,0.007296617707865619,0.00271649128522582,1.5931039963871008,0.0009222584935463965,0.0020569586319261783,0.0011347001383797818,2.2303493503393774,0.0009609756713895407,0.0019185729072503978,0.000957597235860857,1.9964843693453773,0.012741178692227073,0.02078853851477258,0.008047359822545508,1.6316024613527247,0.345127158292702,0.9955947399139398,0.6504675816212377,2.8847186203456547,0.005040721628548841,0.0,-0.005040721628548841,0.0
1925,wam,free_pre->terminal_approach,0.022534513096375282,0.00332762068977058,-0.0192068924066047,0.14766774305435665,0.002962061852153221,0.0013068807631614976,-0.0016551810889917234,0.44120643943052124,0.003162742126199749,0.001501577489413226,-0.0016611646367865232,0.474770762046754,0.012407243067874218,0.01708423536186998,0.004676992293995763,1.3769566106193074,0.004743303571428567,0.38426339285714256,0.379520089285714,81.01176470588237,0.002232142857142856,0.03080357142857143,0.028571428571428574,13.800000000000006
1925,wam,terminal_approach->contact_manipulation,0.00332762068977058,0.0047811884512972665,0.0014535677615266866,1.4368189457395464,0.0013068807631614976,0.0012180418585144865,-8.88389046470111e-05,0.9320221804840869,0.001501577489413226,0.0014577026437408336,-4.387484567239231e-05,0.9707808315043819,0.01708423536186998,0.016464009835616633,-0.0006202255262533485,0.9636960324465197,0.38426339285714256,0.5073869977678567,0.12312360491071411,1.3204146093523088,0.03080357142857143,0.04817940848214283,0.017375837053571402,1.5640851449275353
1925,wam,contact_manipulation->stable_transport,0.0047811884512972665,0.014590860050784542,0.009809671599487275,3.051722432489697,0.0012180418585144865,0.0016650481489059797,0.0004470062903914932,1.3669876263010028,0.0014577026437408336,0.001962569601188134,0.0005048669574473003,1.3463442696047283,0.016464009835616633,0.003983432333238945,-0.012480577502377688,0.24194788347499505,0.5073869977678567,0.8794642857142851,0.37207728794642847,1.7333205020690419,0.04817940848214283,0.0045758928571427715,-0.04360351562500006,0.09497611119154308
16001,gt,free_pre->terminal_approach,0.0022032226649537075,0.016591361432148247,0.014388138767194539,7.530496892603841,0.0009850011339092599,0.0025710106861064185,0.0015860095521971586,2.6101601283468825,0.0009086163553466615,0.002045524929315488,0.0011369085739688263,2.2512525966309127,0.011046770482811108,0.008553571066714283,-0.002493199416096825,0.7743051310809553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16001,gt,terminal_approach->contact_manipulation,0.016591361432148247,0.010134684310647563,-0.006456677121500684,0.6108410302610908,0.0025710106861064185,0.0029631170483587887,0.00039210636225237017,1.1525105921851233,0.002045524929315488,0.0025285230314081968,0.00048299810209270896,1.2361242804576031,0.008553571066714283,0.016925440720802487,0.008371869654088204,1.9787572452243767,0.0,0.6861233711242671,0.6861233711242671,68612337.11242671,0.0,0.0,0.0,0.0
16001,wam,free_pre->terminal_approach,0.0198358175272775,0.016362974104184504,-0.003472843423092998,0.8249205802424191,0.0028889769004495905,0.002791034154670733,-9.794274577885724e-05,0.9660977746953895,0.0019267554714053664,0.0027768869991108875,0.0008501315277055211,1.4412244004608634,0.0075396028157217465,0.012446202481533053,0.0049065996658113065,1.6507769421991243,0.003571428571428569,0.002399553571428569,-0.0011718750000000002,0.6718749999999998,0.001171874999999999,0.0008370535714285719,-0.00033482142857142717,0.7142857142857153
16001,wam,terminal_approach->contact_manipulation,0.016362974104184504,0.012393800283711101,-0.003969173820473402,0.7574295604697947,0.002791034154670733,0.0017436833008570155,-0.0010473508538137177,0.6247445227207272,0.0027768869991108875,0.002018502565410897,-0.0007583844336999904,0.726894024156254,0.012446202481533053,0.006565391403206222,-0.005880811078326831,0.5275015743113264,0.002399553571428569,0.6397600446428567,0.6373604910714282,266.61627906976753,0.0008370535714285719,0.0018973214285714635,0.0010602678571428915,2.266666666666707
