episode,source,feature_group,event,event_frame,best_frame_within_5,best_score_within_5,score_percentile
1925,wam,joint_scalar,transport_onset,130,135,0.8840792953183063,0.3273809523809524
1925,wam,joint_scalar,placement_contact,180,182,0.927277226879728,0.36904761904761907
1925,wam,joint_scalar,release_onset,184,182,0.927277226879728,0.36904761904761907
1925,wam,joint_scalar,retreat_onset,190,185,0.6732143177023838,0.16666666666666666
1925,wam,joint_dynamics,approach_onset,48,43,2.254156458368766,0.8869047619047619
1925,wam,joint_dynamics,contact_onset,82,77,1.247710859707409,0.5178571428571429
1925,wam,joint_dynamics,object_motion_onset,88,91,2.347668846013783,0.9166666666666666
1925,wam,joint_dynamics,grasp_lift_onset,112,117,1.6541877221685568,0.75
1925,wam,joint_dynamics,transport_onset,130,132,1.2916116566293572,0.5833333333333334
1925,wam,joint_dynamics,placement_contact,180,175,1.7682672426992374,0.8035714285714286
1925,wam,joint_dynamics,release_onset,184,179,1.5982233504196985,0.7321428571428571
1925,wam,joint_dynamics,retreat_onset,190,185,0.9227792089867706,0.30952380952380953
1925,wam,gripper_only,approach_onset,48,47,1.381470268379482,0.6666666666666666
1925,wam,gripper_only,contact_onset,82,86,1.4935445582432691,0.6964285714285714
1925,wam,gripper_only,object_motion_onset,88,90,1.7426109658659974,0.7559523809523809
1925,wam,gripper_only,grasp_lift_onset,112,110,5.169640898379018,1.0
1925,wam,gripper_only,transport_onset,130,129,0.28621528221546555,0.35119047619047616
1925,wam,gripper_only,placement_contact,180,180,4.314203710218673,0.9642857142857143
1925,wam,gripper_only,release_onset,184,180,4.314203710218673,0.9642857142857143
1925,wam,gripper_only,retreat_onset,190,185,0.8297860460767255,0.5178571428571429
1925,wam,joint_gripper,approach_onset,48,43,2.1349939110988334,0.8809523809523809
1925,wam,joint_gripper,contact_onset,82,77,1.1985803934869235,0.4583333333333333
1925,wam,joint_gripper,object_motion_onset,88,91,2.2927795090228127,0.9226190476190477
