source,feature,free_n,fine_n,free_mean,fine_mean,free_median,fine_median,raw_auc_fine_high,separation_auc,fine_direction
gt,joint_step,19,116,0.016950074491931665,0.007106740705730782,0.01652960892082555,0.004809617683646668,0.0911978221415608,0.9088021778584392,lower
gt,joint_step_change,19,116,0.004926785070148363,0.0038876939447512393,0.004164690427716639,0.00253339664358878,0.2754083484573503,0.7245916515426497,lower
gt,joint_jerk,19,116,0.007352063926960819,0.0066904005874954715,0.005664190215389912,0.004333443917419244,0.36206896551724144,0.6379310344827586,lower
gt,direction_change,19,116,0.043530570470775305,0.19778310349918635,0.02584759142124393,0.08142719453504793,0.7227767695099819,0.7227767695099819,higher
gt,gripper_value,19,116,0.0,0.6410037760988103,0.0,0.791850209236145,0.978448275862069,0.978448275862069,higher
gt,gripper_change,19,116,0.0,0.028536325264400964,0.0,0.0042439172975718975,0.7672413793103448,0.7672413793103448,higher
wam,joint_step,19,116,0.015979549902159336,0.008635274474345781,0.017146735266368257,0.007484307753876351,0.2595281306715064,0.7404718693284936,lower
wam,joint_step_change,19,116,0.007075109392587162,0.003421169764282166,0.006136981200304945,0.003099214605458462,0.1284029038112523,0.8715970961887477,lower
wam,joint_jerk,19,116,0.010094412515079355,0.005616397825385467,0.007332926271904844,0.005114657806697927,0.1941923774954628,0.8058076225045372,lower
wam,direction_change,19,116,0.24424068903707147,0.27980307088112255,0.04217345711306242,0.0734397935376736,0.5598911070780399,0.5598911070780399,higher
wam,gripper_value,19,116,0.0030838815789473685,0.6731593691069504,0.001953125,0.72216796875,1.0,1.0,higher
wam,gripper_change,19,116,0.001850328947368421,0.02940105569773707,0.0,0.013671875,0.8926950998185118,0.8926950998185118,higher
