benefit,stage,samples,mean,ci95_low,ci95_high,median,fraction_positive
benefit_5_to_8,free_open,22,-0.0007195897841587876,-0.0016906403715921635,9.34755698644041e-05,0.0001203287828050962,0.5
benefit_5_to_8,pre_close,12,0.0012635886917260876,0.00042842601903114204,0.0022308466312703557,0.0009310594393013545,0.8333333333333334
benefit_5_to_8,closing,12,-0.00012258888508583513,-0.0005047016246900523,0.00020911674867331304,4.5316805242761465e-05,0.5833333333333334
benefit_5_to_8,hold,26,-0.0005264244555847259,-0.0010932431355353239,7.661942560955902e-05,-0.0001425280156130337,0.4230769230769231
benefit_5_to_8,release,12,0.0005648659056645017,-6.700923797454153e-05,0.0011995366897469078,0.0005389970117965961,0.6666666666666666
benefit_5_to_16,free_open,22,0.00019527179031387644,-0.0009527745499485843,0.0015291882701003049,7.536817153596959e-05,0.5454545454545454
benefit_5_to_16,pre_close,12,-0.001764740517574607,-0.006141608375669659,0.001351478446761277,-0.0002818897293439624,0.5
benefit_5_to_16,closing,12,-0.00010841763969037176,-0.0016342310277056094,0.0015502189205399827,-0.0002694535540801054,0.4166666666666667
benefit_5_to_16,hold,26,0.0003646646962997766,-0.0012167522689953852,0.002126834546757239,9.74379653585402e-05,0.5
benefit_5_to_16,release,12,-0.0031595651975024203,-0.007705637696458838,7.031855348649738e-05,-0.0013460428546563184,0.3333333333333333
benefit_8_to_16,free_open,22,0.0009148615744726642,-0.0005202092746089397,0.0026181669972805805,0.0004132549500609293,0.5909090909090909
benefit_8_to_16,pre_close,12,-0.0030283292093006933,-0.007871374460099851,0.0001584645756179219,-0.0008122566909156336,0.25
benefit_8_to_16,closing,12,1.4171245395463314e-05,-0.0015024983956253692,0.0018764138711181667,-0.0004488669783325643,0.4166666666666667
benefit_8_to_16,hold,26,0.0008910891518845026,-0.0005196338998844089,0.0025705994239235957,-0.00037113080201428734,0.3076923076923077
benefit_8_to_16,release,12,-0.003724431103166922,-0.008146063554674178,-0.0006194004603477842,-0.0018826989814479129,0.25
