task,feature_group,samples,episodes,auroc,auprc,balanced_accuracy,macro_f1,auroc_ci_low,auprc_ci_low,balanced_accuracy_ci_low,macro_f1_ci_low,auroc_ci_high,auprc_ci_high,balanced_accuracy_ci_high,macro_f1_ci_high
fine_vs_free,current_joint,84,12,0.6891495601173021,0.8331957915538893,0.6891495601173021,0.6657824933687002,0.5025793650793652,0.7448429568073325,0.5317460317460317,0.5176143702015552,0.8720319234913793,0.9547996637792783,0.8446313469417618,0.8152598847203963
fine_vs_free,current_gripper,84,12,0.9105571847507331,0.9723790430027237,0.8658357771260997,0.820836751435603,0.8706858066502463,0.9505409706242265,0.7936507936507936,0.7657063929641146,0.95464950042517,0.9879561183213593,0.9191919191919191,0.8733031674208145
fine_vs_free,current_joint_gripper_transition,84,12,0.8914956011730205,0.9608260503696239,0.8071847507331378,0.802710027100271,0.7989867622376013,0.9191444294156661,0.6939176570458404,0.6974789915966386,0.9726594223276998,0.992327553859245,0.9206359967715899,0.901460631127451
fine_vs_free,lagged_previous_chunk,84,12,0.7635630498533724,0.8853604568828376,0.6876832844574781,0.6517857142857143,0.6443450126262626,0.8127213380380011,0.6279259916653805,0.5851113778844872,0.8511892415733671,0.9512773414550689,0.7458382936507937,0.71880706025563
pre_close_vs_free,current_joint,34,12,0.8333333333333333,0.7195093333531467,0.7992424242424242,0.7614035087719297,0.6832789855072464,0.6187799965118514,0.6388888888888888,0.5829976969450653,0.9708378623188406,0.9516176184926184,0.9444444444444444,0.9321266968325792
pre_close_vs_free,current_gripper,34,12,0.446969696969697,0.37067106149678836,0.5984848484848485,0.59828141783029,0.28121875,0.2919156449970018,0.48148148148148145,0.4464100743880979,0.5761639492753623,0.5414166035226228,0.7202876984126984,0.7259595959595959
pre_close_vs_free,current_joint_gripper_transition,34,12,0.678030303030303,0.5035139245859059,0.6704545454545454,0.6421052631578947,0.4128742784992786,0.35710997577320175,0.44163690476190476,0.40143382352941176,0.9062789351851852,0.8373004201680672,0.8695652173913043,0.8528524543010164
pre_close_vs_free,lagged_previous_chunk,34,12,0.6496212121212122,0.5392836947003614,0.7007575757575758,0.7043478260869566,0.4419157608695652,0.404938589507555,0.5416666666666666,0.5417156286721504,0.8426062091503269,0.7597791005291007,0.8484848484848485,0.8418604651162791
