episode,chunk_index,anchor,stage,benefit_5_to_16,s5_joint_step_mean,s5_joint_accel_mean,s5_joint_jerk_mean,s5_gripper_step_max
28198,1,47,free_open,-0.0021600459983255743,0.009571472445975589,0.0058538709619889535,0.010326172305018066,0.005859375
28198,2,71,pre_close,0.003970332195702961,0.004694127066331489,0.005011754036997208,0.008921078699317402,0.0078125
28198,3,95,closing,-0.0038847506297581373,0.00394798798676706,0.005500279816013226,0.009526855216596013,0.0078125
28198,4,119,hold,-2.3007777903975846e-05,0.010294868918713191,0.00541446140575807,0.009117199386083399,0.02099609375
28198,5,143,release,-0.0022967092136519755,0.004234638691867922,0.005542587480560432,0.009877067010332917,0.0166015625
28198,6,167,free_open,-0.0041101510418746715,0.015563011890001978,0.007141416121135063,0.01164128798177167,0.0078125
36870,0,23,free_open,0.004825935131316647,0.01980319724952776,0.00833672525789546,0.013161996645047714,0.0078125
36870,1,47,pre_close,0.001728547498064753,0.00803646287523023,0.006349832563267743,0.010651551044544743,0.04296875
36870,2,71,closing,-0.0024162484391523006,0.005606245295538618,0.006168147660258082,0.010787754926003462,0.078125
36870,3,95,hold,0.02817614248939756,0.02096483268865379,0.013154267443930074,0.02093727719152583,0.01953125
36870,4,119,hold,-0.00894388855751083,0.011976812984163457,0.006188590615155563,0.010367757691107227,0.0673828125
36870,5,143,hold,0.004539496192516288,0.015929538995136716,0.00654599252299997,0.010795945416191976,0.0234375
36870,6,167,release,-0.0006775949069794188,0.010314218386886533,0.00617540497101901,0.010235655059760623,0.01953125
46492,0,23,free_open,-0.0009600994231738387,0.016893208348690594,0.006901969359658342,0.011582537713616363,0.013671875
46492,1,47,pre_close,0.0035188809623892085,0.010595659806047167,0.005887262829956087,0.009305496426119926,0.015625
46492,2,71,closing,3.5817404996039796e-05,0.0058451702127408816,0.006522914231915832,0.011497649349583767,0.0810546875
46492,3,95,hold,-0.0011839476969919618,0.013269662551494569,0.007534419051786824,0.012553427030460236,0.013671875
46492,4,119,hold,-0.002124261725700148,0.008098052769238355,0.005729955719100118,0.009869080760443547,0.01953125
46492,5,143,hold,-0.0022955399436678132,0.006855062918488822,0.006368031573313174,0.01110009624891295,0.017578125
46492,6,167,release,0.0005488015470014795,0.004838666277194377,0.006406474150924605,0.011133737064168807,0.029296875
50458,0,23,free_open,0.003992514343919198,0.016160377930091802,0.007329911865591578,0.012162252524302282,0.0078125
50458,1,47,pre_close,4.920040740531359e-05,0.009932667572522447,0.004845216343674245,0.008788790863966733,0.044921875
50458,2,71,closing,0.0014537705197254416,0.008511284974498616,0.006565756597297231,0.011597830781939232,0.021728515625
50458,3,95,hold,-0.0008689621954152162,0.012695977046693447,0.006207199193991612,0.01008424787970208,0.078125
50458,4,119,hold,0.0014309896487961944,0.010928432965620008,0.006465231201257051,0.010721665209959213,0.015625
50458,5,143,hold,0.0036113723240317475,0.013746217078977186,0.007367393693209598,0.011203470503265249,0.017578125
50458,6,167,release,-0.0013832466689141232,0.012947640859663023,0.007503995838493051,0.011840672213767812,0.3896484375
