calls,predictor,auroc,ci_low,ci_high,valid_draws
2,h3_action_geometry,0.5965130759651307,0.39903381642512076,0.7697501778093884,4000
2,h3_chunk_transition,0.5068493150684932,0.3120086646905092,0.7160685436370369,4000
2,h3_combined,0.4931506849315069,0.2992497578524975,0.6875,4000
2,h3_flow_only,0.4072229140722291,0.17777777777777776,0.6662844569351419,4000
2,h3_gt_phase_oracle,0.4209215442092154,0.23411947882331835,0.59259359576261,4000
2,h3_lagged_previous_chunk,0.5529265255292652,0.3974675430055177,0.7067594519380235,4000
2,h3_prefix_convergence,0.5168119551681196,0.31400499936831083,0.6992746644527467,4000
2,h4b_dit_flow_scalar,0.37733499377334995,0.24034869240348694,0.5274227203542273,4000
2,raw_pred_motion,0.6662515566625156,0.46064510233918127,0.8293948395049178,4000
2,raw_flow_rms,0.6973848069738481,0.480686529134168,0.8518518518518519,4000
2,raw_flow_delta_rms,0.5691158156911582,0.3792397443826015,0.7178762541806021,4000
2,oracle_current_error,0.788293897882939,0.60273880044428,0.945963963963964,4000
4,h3_action_geometry,0.5367372353673724,0.3375868055555556,0.7585470085470085,4000
4,h3_chunk_transition,0.6002490660024906,0.33974358974358976,0.7963107638888888,4000
4,h3_combined,0.6089663760896638,0.37160165225474895,0.8281696603837305,4000
4,h3_flow_only,0.39601494396014947,0.19702762317048028,0.5755102040816327,4000
4,h3_gt_phase_oracle,0.48630136986301375,0.3886792512770986,0.6326005625879044,4000
4,h3_lagged_previous_chunk,0.564134495641345,0.36756641256641254,0.7452043724920437,4000
4,h3_prefix_convergence,0.514321295143213,0.317017094017094,0.7129013048881525,4000
4,h4b_dit_flow_scalar,0.4109589041095891,0.27999013157894737,0.5343754133597884,4000
4,raw_pred_motion,0.6849315068493151,0.5285697032436162,0.8504273504273504,4000
4,raw_flow_rms,0.6488169364881694,0.4289613526570048,0.8783809442353746,4000
4,raw_flow_delta_rms,0.6450809464508095,0.5255171931786413,0.7852006365020063,4000
4,oracle_current_error,0.854296388542964,0.708688745861784,0.9481481481481481,4000
8,h3_action_geometry,0.5256756756756756,0.40271362821766044,0.6735654008438818,3992
8,h3_chunk_transition,0.5405405405405406,0.33764985014985016,0.9013567083910664,3992
8,h3_combined,0.5567567567567567,0.3944640165170086,0.7266823469038658,3992
8,h3_flow_only,0.3932432432432433,0.24691358024691357,0.5708822838345865,3992
8,h3_gt_phase_oracle,0.4797297297297297,0.3191025961820135,0.6420490306620443,3992
8,h3_lagged_previous_chunk,0.5472972972972973,0.32035361842105264,0.7735042735042734,3992
8,h3_prefix_convergence,0.38918918918918916,0.17072152586089873,0.604054054054054,3992
8,h4b_dit_flow_scalar,0.4027027027027027,0.25608228879134803,0.6292573497930639,3992
8,raw_pred_motion,0.6175675675675676,0.4906331409242368,0.8232033105048978,3992
8,raw_flow_rms,0.5689189189189189,0.4,0.7682926829268293,3992
8,raw_flow_delta_rms,0.6851351351351351,0.5701826447248982,0.801705833848691,3992
8,oracle_current_error,0.7621621621621621,0.647785752979415,0.9375,3992
