calls,predictor,spearman,ci_low,ci_high
2,h3_action_geometry,0.24894198643312748,-0.008055133979880565,0.4666472166178649
2,h3_chunk_transition,-0.0017009213323883774,-0.15971829701887139,0.16149247725269672
2,h3_combined,0.004353548648375013,-0.22146435324693955,0.2144976553913807
2,h3_flow_only,-0.22192973574972155,-0.3473171068967033,-0.034953711410724626
2,h3_gt_phase_oracle,-0.15807595260915275,-0.3268025481178524,0.05622239078783961
2,h3_lagged_previous_chunk,-0.15101751543991093,-0.32373806097001934,-0.00017320379023816852
2,h3_prefix_convergence,-0.13734939759036144,-0.3198205760955268,0.05813361646432573
2,h4b_dit_flow_scalar,-0.042442037055786176,-0.18111088477293358,0.1001579344742685
2,raw_pred_motion,0.018649387465829708,-0.1577162846609957,0.2261215812348397
2,raw_flow_rms,0.022415713273261115,-0.1908048085969637,0.24125020257677673
2,raw_flow_delta_rms,-0.02956363268198846,-0.205471170470766,0.14393695830634026
2,oracle_current_error,0.15296142553406905,-0.07318228883579958,0.3572107876585396
4,h3_action_geometry,0.09051331375923864,-0.1718153421954269,0.3571333570726922
4,h3_chunk_transition,0.16091930748202896,-0.06244836669622394,0.38048969825205325
4,h3_combined,0.19017920421180523,-0.07558810165367384,0.44575906769793805
4,h3_flow_only,0.06157740204515541,-0.14034854544949046,0.24902622703136124
4,h3_gt_phase_oracle,-0.1168506353079445,-0.3253853551126665,0.15063410913054934
4,h3_lagged_previous_chunk,0.13791637136782423,-0.055172544797340864,0.28108659758308774
4,h3_prefix_convergence,0.13317809051331378,-0.04348821426039039,0.28938574301513725
4,h4b_dit_flow_scalar,0.13358307178293005,-0.034276791134418165,0.2775325669890421
4,raw_pred_motion,-0.0645945125037967,-0.2994650791914627,0.15497841119128908
4,raw_flow_rms,-0.048071276703452466,-0.28288132459352866,0.18663623991084904
4,raw_flow_delta_rms,-0.09318619013870609,-0.2823920265780731,0.10206158050276308
4,oracle_current_error,0.07633896932266883,-0.1406142998966712,0.26409720319217755
8,h3_action_geometry,-0.14154095373088993,-0.2688039198302343,-0.015298015929311138
8,h3_chunk_transition,-0.07692619216361243,-0.26104461909653326,0.11117267696235017
8,h3_combined,-0.10626708514731194,-0.30254941066293184,0.08578297268824876
8,h3_flow_only,0.006702440012149439,-0.10559724219044796,0.15108484303002084
8,h3_gt_phase_oracle,-0.12688607855174144,-0.3481188744964948,0.11088012612727227
8,h3_lagged_previous_chunk,0.05574567176268098,-0.17423239294996207,0.249279839559193
8,h3_prefix_convergence,-0.027072997873848332,-0.18556496136349654,0.10596459752144834
8,h4b_dit_flow_scalar,-0.01119773210489015,-0.12562933156360911,0.13140049524505637
8,raw_pred_motion,-0.09591981370861598,-0.2513454966520737,0.03456007859030264
8,raw_flow_rms,-0.08215045054166245,-0.22792150592249993,0.05116182112066173
8,raw_flow_delta_rms,-0.12536195200971956,-0.2928708411315196,0.06329937635027605
8,oracle_current_error,0.030738078363875668,-0.08298729758034902,0.1534156297582878
