feature,stage,count,median,q25,q75,fine_spearman,fine_spearman_p
joint_path,free_open,2303,0.3769173168968798,0.2573462698538117,0.5317392831573807,-0.17585998958205382,6.9223791939474065e-75
joint_path,pre_close,1385,0.28389707168357436,0.19092432307756496,0.40503084300733294,-0.17585998958205382,6.9223791939474065e-75
joint_path,closing,1592,0.21276872404324831,0.14279611210836657,0.32317751995322697,-0.17585998958205382,6.9223791939474065e-75
joint_path,hold,4316,0.32610819088389204,0.20497850682012939,0.48907299214886096,-0.17585998958205382,6.9223791939474065e-75
joint_path,release,1078,0.2842624194482646,0.18182711635051235,0.43587819769211333,-0.17585998958205382,6.9223791939474065e-75
joint_step_mean,free_open,2303,0.01570488820403666,0.010722761243908823,0.022155803464890864,-0.17585998958205382,6.9223791939474065e-75
joint_step_mean,pre_close,1385,0.011829044653482265,0.007955180128231874,0.016876285125305538,-0.17585998958205382,6.9223791939474065e-75
joint_step_mean,closing,1592,0.008865363501802013,0.005949838004515273,0.013465729998051122,-0.17585998958205382,6.9223791939474065e-75
joint_step_mean,hold,4316,0.013587841286828835,0.008540771117505392,0.020378041339535875,-0.17585998958205382,6.9223791939474065e-75
joint_step_mean,release,1078,0.011844267477011023,0.007576129847938014,0.01816159157050472,-0.17585998958205382,6.9223791939474065e-75
joint_step_max,free_open,2303,0.057573713335046385,0.03687784445807249,0.08441176945831655,-0.11531725106822144,6.299777513557547e-33
joint_step_max,pre_close,1385,0.05336199845471594,0.03346350318349942,0.07817995658895478,-0.11531725106822144,6.299777513557547e-33
joint_step_max,closing,1592,0.037831072967082185,0.027065902992464023,0.054390770553268644,-0.11531725106822144,6.299777513557547e-33
joint_step_max,hold,4316,0.04992101268394249,0.032120510467056274,0.07798279130668753,-0.11531725106822144,6.299777513557547e-33
joint_step_max,release,1078,0.04448118136430214,0.029536638902510636,0.06788595883094645,-0.11531725106822144,6.299777513557547e-33
joint_endpoint,free_open,2303,0.26164452349523026,0.1704374945426026,0.37826691368788196,-0.17858712731358234,3.318292201037547e-77
joint_endpoint,pre_close,1385,0.21525442910177606,0.13307322166769656,0.3048163181877008,-0.17858712731358234,3.318292201037547e-77
joint_endpoint,closing,1592,0.13135226608458567,0.07649198030624413,0.2161359726832684,-0.17858712731358234,3.318292201037547e-77
joint_endpoint,hold,4316,0.22093085953912736,0.1283823880264956,0.3474091376730072,-0.17858712731358234,3.318292201037547e-77
joint_endpoint,release,1078,0.1653541956450807,0.09766799323135239,0.2636789986284157,-0.17858712731358234,3.318292201037547e-77
joint_accel_mean,free_open,2303,0.00739765306340295,0.004828681313962019,0.01175535508141548,-0.175040724766999,3.3856071132738957e-74
joint_accel_mean,pre_close,1385,0.005741443284447086,0.003961298485892596,0.008612654699785935,-0.175040724766999,3.3856071132738957e-74
