source,feature,free_n,fine_n,free_mean,fine_mean,free_median,fine_median,raw_auc_fine_high,separation_auc,fine_direction
gt,joint_step,19,116,0.01242386892639676,0.010597846887887986,0.017214484553413737,0.009034576562624082,0.46052631578947373,0.5394736842105263,lower
gt,joint_step_change,19,116,0.004201127846944427,0.004779426515097915,0.003253733337678563,0.0032289344961369017,0.5122504537205081,0.5122504537205081,higher
gt,joint_jerk,19,116,0.005576856491739941,0.00785067988135444,0.004642331675062225,0.005082514530804619,0.573502722323049,0.573502722323049,higher
gt,direction_change,19,116,0.1367669330766004,0.14730099493133397,0.04194048879069523,0.04093698363332404,0.5258620689655172,0.5258620689655172,higher
gt,gripper_value,19,116,0.0,0.4680397059539622,0.0,0.6861233711242676,0.896551724137931,0.896551724137931,higher
gt,gripper_change,19,116,0.0,0.016355834644416284,0.0,0.0,0.5991379310344828,0.5991379310344828,higher
wam,joint_step,19,116,0.019765701762939777,0.008044184104986914,0.020197053831317386,0.006937636949180662,0.013157894736842105,0.9868421052631579,lower
wam,joint_step_change,19,116,0.00421922665085697,0.0038203140107107058,0.00407362098706828,0.0034723290242893888,0.35707803992740467,0.6429219600725953,lower
wam,joint_jerk,19,116,0.006173438579593724,0.006211234384873698,0.006378728148290862,0.005603159774848077,0.46098003629764067,0.5390199637023594,lower
wam,direction_change,19,116,0.020301370098352842,0.31898965583005195,0.015338540559028835,0.12309397380988096,0.8706896551724138,0.8706896551724138,higher
wam,gripper_value,19,116,0.0006167763157894736,0.5359981142241379,0.0,0.6376953125,0.9448729582577132,0.9448729582577132,higher
wam,gripper_change,19,116,0.0010279605263157894,0.01733819369612069,0.0,0.00390625,0.8348457350272231,0.8348457350272231,higher
