calls,stage,samples,action8_rms_mean,joint7_rms_mean,delta_action8_rms_mean,gt_motion_h8_mean
1,closing,12,1.0269873162398488,0.9997066395499933,0.0,0.006423637345130825
1,free_open,22,1.0820642712178927,1.0333563405244062,0.0,0.01972205126861106
1,hold,26,1.052156295316949,1.0214948540871895,0.0,0.017348779210844975
1,pre_close,12,1.0593717634452207,1.021080281026273,0.0,0.01627216752435298
1,release,12,1.0354124600181167,1.007932092393349,0.0,0.015193721033427587
2,closing,12,1.0229072159315413,0.9937081389020465,0.03622266210558273,0.006423637345130825
2,free_open,22,1.0777244839456241,1.0287901053990753,0.03945680013516017,0.01972205126861106
2,hold,26,1.0494821403786587,1.0177101224025447,0.034692751578259726,0.017348779210844975
2,pre_close,12,1.0531894110296476,1.015322354983076,0.027615816022664927,0.01627216752435298
2,release,12,1.030976707610506,1.002361110042821,0.03503450688029095,0.015193721033427587
4,closing,12,1.028605988445103,0.9946986244671114,0.03221119154752813,0.006423637345130825
4,free_open,22,1.0818076810396584,1.0348544557810582,0.035724003161377076,0.01972205126861106
4,hold,26,1.0550240661801267,1.0240157234436889,0.04201131253157962,0.017348779210844975
4,pre_close,12,1.0551256320679034,1.0148246033470922,0.03950996447472295,0.01627216752435298
4,release,12,1.0362473994946473,1.002724120225505,0.06008354909713351,0.015193721033427587
8,closing,12,1.032251762024685,0.9979236352450375,0.020137511724409144,0.006423637345130825
8,free_open,22,1.0881905678394377,1.0437496419276817,0.015657201349909444,0.01972205126861106
8,hold,26,1.0627111119690804,1.0312023363795815,0.025158398071513346,0.017348779210844975
8,pre_close,12,1.0606177092861533,1.0210697028616098,0.020156190675295133,0.01627216752435298
8,release,12,1.0498278314869272,1.0136763189802025,0.02794804271473783,0.015193721033427587
16,closing,12,1.0300979348611963,0.998491144112761,0.048421095060178936,0.006423637345130825
16,free_open,22,1.0923616301930985,1.0481202705779138,0.03722065796906087,0.01972205126861106
16,hold,26,1.0811561958041498,1.0355714278787973,0.051690874738031065,0.017348779210844975
16,pre_close,12,1.0657079779483345,1.029743993611176,0.0396832146596637,0.01627216752435298
16,release,12,1.0570778736273134,1.0142271510961587,0.051322835801966026,0.015193721033427587
