group,auroc,auprc,balanced_accuracy,macro_f1
gripper_only,0.9765073603549103,0.9964346701182667,0.9798850574712643,0.9350485703812317
joint_gripper,0.9756503327283726,0.9958549709167713,0.9286902601330913,0.907699504612026
joint_only,0.7865497076023392,0.9430892602700496,0.7389594676346037,0.6456568908798208
joint_step_only,0.8024299253881831,0.9471895744511771,0.7537810042347247,0.6428901336065367
time_only,1.0,0.9999999999999997,0.9913793103448276,0.9706521739130435
