group,held_out_episode,auroc,auprc,balanced_accuracy,macro_f1
joint_step_only,1925,0.7404718693284936,0.9414713675022977,0.6903357531760436,0.6361185983827493
joint_step_only,16001,0.9868421052631579,0.9980406497042393,0.8706896551724138,0.7051543389633081
joint_step_only,50458,0.7599818511796734,0.9531743299018439,0.7003176043557169,0.5833333333333334
joint_only,1925,0.7540834845735028,0.9379707103905626,0.6950998185117967,0.6204514418828821
joint_only,16001,0.9205989110707804,0.9868059086619966,0.8357531760435571,0.6787800129785853
joint_only,50458,0.7713248638838475,0.9575358097298352,0.6860254083484574,0.6296296296296297
gripper_only,1925,1.0,1.0,1.0,1.0
gripper_only,16001,0.9782214156079856,0.9956550135578078,0.9482758620689655,0.8527272727272728
gripper_only,50458,1.0,1.0,0.9913793103448276,0.9706521739130435
joint_gripper,1925,0.9841197822141561,0.9973307635681659,0.8421052631578947,0.8936449579831933
joint_gripper,16001,0.9950090744101634,0.9992533260928588,0.9525862068965517,0.862868224212762
joint_gripper,50458,0.9990925589836661,0.9998538866160137,0.9913793103448276,0.9706521739130435
time_only,1925,1.0,0.9999999999999997,0.9913793103448276,0.9706521739130435
time_only,16001,1.0,0.9999999999999997,0.9913793103448276,0.9706521739130435
time_only,50458,1.0,0.9999999999999997,0.9913793103448276,0.9706521739130435
