episode,source,feature,free_n,fine_n,free_mean,fine_mean,free_median,fine_median,raw_auc_fine_high,separation_auc,fine_direction
1925,gt,joint_step,19,116,0.0169500744919316,0.0071067407057307,0.0165296089208255,0.0048096176836466,0.0911978221415608,0.9088021778584392,lower
1925,gt,joint_step_change,19,116,0.0049267850701483,0.0038876939447512,0.0041646904277166,0.0025333966435887,0.2754083484573503,0.7245916515426497,lower
1925,gt,joint_jerk,19,116,0.0073520639269608,0.0066904005874954,0.0056641902153899,0.0043334439174192,0.3620689655172414,0.6379310344827586,lower
1925,gt,direction_change,19,116,0.0435305704707753,0.1977831034991863,0.0258475914212439,0.0814271945350479,0.7227767695099819,0.7227767695099819,higher
1925,gt,gripper_value,19,116,0.0,0.6410037760988103,0.0,0.791850209236145,0.978448275862069,0.978448275862069,higher
1925,gt,gripper_change,19,116,0.0,0.0285363252644009,0.0,0.0042439172975718,0.7672413793103448,0.7672413793103448,higher
1925,wam,joint_step,19,116,0.0159795499021593,0.0086352744743457,0.0171467352663682,0.0074843077538763,0.2595281306715064,0.7404718693284936,lower
1925,wam,joint_step_change,19,116,0.0070751093925871,0.0034211697642821,0.0061369812003049,0.0030992146054584,0.1284029038112523,0.8715970961887477,lower
1925,wam,joint_jerk,19,116,0.0100944125150793,0.0056163978253854,0.0073329262719048,0.0051146578066979,0.1941923774954628,0.8058076225045372,lower
1925,wam,direction_change,19,116,0.2442406890370714,0.2798030708811225,0.0421734571130624,0.0734397935376736,0.5598911070780399,0.5598911070780399,higher
1925,wam,gripper_value,19,116,0.0030838815789473,0.6731593691069504,0.001953125,0.72216796875,1.0,1.0,higher
1925,wam,gripper_change,19,116,0.0018503289473684,0.029401055697737,0.0,0.013671875,0.8926950998185118,0.8926950998185118,higher
16001,gt,joint_step,19,116,0.0124238689263967,0.0105978468878879,0.0172144845534137,0.009034576562624,0.4605263157894737,0.5394736842105263,lower
16001,gt,joint_step_change,19,116,0.0042011278469444,0.0047794265150979,0.0032537333376785,0.0032289344961369,0.5122504537205081,0.5122504537205081,higher
16001,gt,joint_jerk,19,116,0.0055768564917399,0.0078506798813544,0.0046423316750622,0.0050825145308046,0.573502722323049,0.573502722323049,higher
16001,gt,direction_change,19,116,0.1367669330766004,0.1473009949313339,0.0419404887906952,0.040936983633324,0.5258620689655172,0.5258620689655172,higher
16001,gt,gripper_value,19,116,0.0,0.4680397059539622,0.0,0.6861233711242676,0.896551724137931,0.896551724137931,higher
16001,gt,gripper_change,19,116,0.0,0.0163558346444162,0.0,0.0,0.5991379310344828,0.5991379310344828,higher
16001,wam,joint_step,19,116,0.0197657017629397,0.0080441841049869,0.0201970538313173,0.0069376369491806,0.0131578947368421,0.986842105263158,lower
16001,wam,joint_step_change,19,116,0.0042192266508569,0.0038203140107107,0.0040736209870682,0.0034723290242893,0.3570780399274046,0.6429219600725953,lower
16001,wam,joint_jerk,19,116,0.0061734385795937,0.0062112343848736,0.0063787281482908,0.005603159774848,0.4609800362976406,0.5390199637023594,lower
16001,wam,direction_change,19,116,0.0203013700983528,0.3189896558300519,0.0153385405590288,0.1230939738098809,0.8706896551724138,0.8706896551724138,higher
16001,wam,gripper_value,19,116,0.0006167763157894,0.5359981142241379,0.0,0.6376953125,0.9448729582577132,0.9448729582577132,higher
16001,wam,gripper_change,19,116,0.0010279605263157,0.0173381936961206,0.0,0.00390625,0.8348457350272231,0.8348457350272231,higher
50458,gt,joint_step,19,116,0.0103577520621943,0.0135983524387243,0.0108459228170851,0.0131056810518975,0.5993647912885662,0.5993647912885662,higher
50458,gt,joint_step_change,19,116,0.0077674831724619,0.0048204493466097,0.0044044936159278,0.0029936740762827,0.4178765880217786,0.5821234119782214,lower
50458,gt,joint_jerk,19,116,0.0138127631329364,0.0077574221464425,0.0061476898813938,0.0047258069103067,0.411978221415608,0.588021778584392,lower
50458,gt,direction_change,19,116,0.3082698605960821,0.0880141975523778,0.0805461314752966,0.0199328609487395,0.3348457350272232,0.6651542649727767,lower
50458,gt,gripper_value,19,116,0.0150212721997185,0.6825048044677181,0.0,0.9025330543518066,0.9382940108892922,0.9382940108892922,higher
50458,gt,gripper_change,19,116,0.0080503727260388,0.015268938551689,0.0,0.0,0.5998185117967332,0.5998185117967332,higher
50458,wam,joint_step,19,116,0.0148565438927651,0.0114415768462912,0.0144168133133094,0.0111399778470965,0.2400181488203266,0.7599818511796733,lower
50458,wam,joint_step_change,19,116,0.0037625272306924,0.0034911021050719,0.0034472112900592,0.0033897951757233,0.4482758620689655,0.5517241379310345,lower
50458,wam,joint_jerk,19,116,0.006322089075287,0.0054732810107579,0.0063821355670396,0.0053287139070263,0.3362068965517242,0.6637931034482758,lower
50458,wam,direction_change,19,116,0.0255277623861938,0.072003650442311,0.0196205683448543,0.0357189931250632,0.6923774954627949,0.6923774954627949,higher
50458,wam,gripper_value,19,116,0.0010279605263157,0.7029692551185345,0.0,0.845703125,0.9913793103448276,0.9913793103448276,higher
50458,wam,gripper_change,19,116,0.0010279605263157,0.0136571423760775,0.0,0.005859375,0.8355263157894738,0.8355263157894738,higher
