source,feature,free_n,fine_n,free_mean,fine_mean,free_median,fine_median,raw_auc_fine_high,separation_auc,fine_direction
gt,joint_step,19,116,0.010357752062194395,0.013598352438724358,0.010845922817085114,0.013105681051897584,0.5993647912885662,0.5993647912885662,higher
gt,joint_step_change,19,116,0.007767483172461917,0.004820449346609738,0.004404493615927821,0.00299367407628275,0.4178765880217786,0.5821234119782214,lower
gt,joint_jerk,19,116,0.013812763132936407,0.007757422146442593,0.006147689881393855,0.004725806910306739,0.411978221415608,0.588021778584392,lower
gt,direction_change,19,116,0.30826986059608213,0.08801419755237787,0.08054613147529666,0.019932860948739528,0.33484573502722326,0.6651542649727767,lower
gt,gripper_value,19,116,0.015021272199718575,0.6825048044677181,0.0,0.9025330543518066,0.9382940108892922,0.9382940108892922,higher
gt,gripper_change,19,116,0.008050372726038882,0.015268938551689017,0.0,0.0,0.5998185117967332,0.5998185117967332,higher
wam,joint_step,19,116,0.014856543892765134,0.011441576846291256,0.014416813313309441,0.011139977847096551,0.24001814882032668,0.7599818511796733,lower
wam,joint_step_change,19,116,0.0037625272306924355,0.003491102105071918,0.0034472112900592023,0.0033897951757233128,0.4482758620689655,0.5517241379310345,lower
wam,joint_jerk,19,116,0.006322089075287074,0.005473281010757992,0.006382135567039693,0.005328713907026361,0.3362068965517242,0.6637931034482758,lower
wam,direction_change,19,116,0.025527762386193874,0.07200365044231104,0.019620568344854372,0.03571899312506327,0.6923774954627949,0.6923774954627949,higher
wam,gripper_value,19,116,0.0010279605263157894,0.7029692551185345,0.0,0.845703125,0.9913793103448275,0.9913793103448275,higher
wam,gripper_change,19,116,0.0010279605263157894,0.013657142376077586,0.0,0.005859375,0.8355263157894738,0.8355263157894738,higher
