target,n,spearman,p
gt_motion_h8,21,0.17922077922077922,0.43696527489850645
k8_pred_motion_h8,21,-0.17142857142857143,0.45747702762159437
benefit_k2_to_16,21,0.07532467532467534,0.7455550758529894
benefit_k4_to_16,21,0.04155844155844156,0.8580477762660439
benefit_k8_to_16,21,-0.12727272727272726,0.5824788611326692
e16_joint_h8,21,-0.3168831168831169,0.16163316689274096
