stage,chunks,entropy_mean,entropy_sd,gt_motion
free_open,4,0.5533168815076351,0.00199893270025782,0.019849688160217094
pre_close,3,0.5533609161153435,0.0023043741237027487,0.015813582571303077
closing,3,0.5545857541418324,0.006074761084748137,0.00796417568499275
hold,8,0.5551225723465905,0.004750522891589441,0.01704862852941242
release,3,0.5525668854980419,0.003902273841295449,0.007745191125136143
